2024-09-21 10:00:55.024 [main] INFO  c.z.z.ZealsingerbookAuthApplicationTests - Starting ZealsingerbookAuthApplicationTests using Java 17.0.5 with PID 17776 (started by John in D:\ZhuoMian\bigThree\Netty相关资料\ZealSingerBook-test\zealsingerbook-auth)
2024-09-21 10:00:55.025 [main] INFO  c.z.z.ZealsingerbookAuthApplicationTests - The following 1 profile is active: "dev"
2024-09-21 10:00:55.999 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-09-21 10:00:56.003 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-09-21 10:00:56.040 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 17 ms. Found 0 Redis repository interfaces.
2024-09-21 10:00:58.267 [main] INFO  c.z.z.ZealsingerbookAuthApplicationTests - Started ZealsingerbookAuthApplicationTests in 3.911 seconds (process running for 5.048)
2024-09-21 10:00:59.886 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2024-09-21 10:01:28.155 [main] INFO  c.z.z.ZealsingerbookAuthApplicationTests - Starting ZealsingerbookAuthApplicationTests using Java 17.0.5 with PID 4996 (started by John in D:\ZhuoMian\bigThree\Netty相关资料\ZealSingerBook-test\zealsingerbook-auth)
2024-09-21 10:01:28.158 [main] INFO  c.z.z.ZealsingerbookAuthApplicationTests - The following 1 profile is active: "dev"
2024-09-21 10:01:28.969 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-09-21 10:01:28.973 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-09-21 10:01:29.024 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19 ms. Found 0 Redis repository interfaces.
2024-09-21 10:01:31.056 [main] INFO  c.z.z.ZealsingerbookAuthApplicationTests - Started ZealsingerbookAuthApplicationTests in 3.51 seconds (process running for 4.387)
2024-09-21 10:01:32.568 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2024-09-21 10:01:53.298 [main] INFO  c.z.z.ZealsingerbookAuthApplicationTests - Starting ZealsingerbookAuthApplicationTests using Java 17.0.5 with PID 21440 (started by John in D:\ZhuoMian\bigThree\Netty相关资料\ZealSingerBook-test\zealsingerbook-auth)
2024-09-21 10:01:53.301 [main] INFO  c.z.z.ZealsingerbookAuthApplicationTests - The following 1 profile is active: "dev"
2024-09-21 10:01:54.057 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-09-21 10:01:54.060 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-09-21 10:01:54.100 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19 ms. Found 0 Redis repository interfaces.
2024-09-21 10:01:56.167 [main] INFO  c.z.z.ZealsingerbookAuthApplicationTests - Started ZealsingerbookAuthApplicationTests in 3.463 seconds (process running for 4.394)
